activity,id,rectime,total_adult_utt,total_child_utt,total_adult_resp,total_adult_imitexp,prop_adultresp_outof_childutt,prop_adult_imitexp_outof_childutt,language,segment_num
play,7550,3408,86,47,71,20,1.5106382978723405,0.425531914893617,spanish,3
ods,7550,2808,0,1,0,0,0,0,spanish,4
play,7550,2808,48,23,44,7,1.9130434782608696,0.30434782608695654,spanish,4
routines,7550,2808,54,25,41,8,1.64,0.32,spanish,4
ac,7550,5808,6,2,5,1,2.5,0.5,spanish,5
conv,7550,5808,35,23,29,5,1.2608695652173914,0.21739130434782608,spanish,5
ods,7550,5808,8,7,6,3,0.8571428571428571,0.42857142857142855,spanish,5
routines,7550,5808,65,33,54,16,1.6363636363636365,0.48484848484848486,spanish,5
ac,7550,7308,19,8,12,1,1.5,0.125,spanish,6
conv,7550,7308,41,13,24,3,1.8461538461538463,0.23076923076923078,spanish,6
food,7550,7308,28,24,22,2,0.9166666666666666,0.08333333333333333,spanish,6
ods,7550,7308,0,7,0,0,0,0,spanish,6
routines,7550,7308,31,18,27,13,1.5,0.7222222222222222,spanish,6
ac,7552,33349,134,52,99,35,1.9038461538461537,0.6730769230769231,spanish,1
ods,7552,33349,0,1,0,0,0,0,spanish,1
play,7552,33349,28,4,11,2,2.75,0.5,spanish,1
conv,7552,48049,10,5,8,2,1.6,0.4,spanish,2
ods,7552,48049,5,1,3,2,3,2,spanish,2
play,7552,48049,49,7,21,3,3,0.42857142857142855,spanish,2
routines,7552,48049,92,35,62,22,1.7714285714285714,0.6285714285714286,spanish,2
ac,7552,32149,94,17,46,16,2.7058823529411766,0.9411764705882353,spanish,4
food,7552,32149,23,4,15,2,3.75,0.5,spanish,4
ods,7552,32149,4,0,0,0,NaN,NaN,spanish,4
food,7552,31549,140,51,113,39,2.215686274509804,0.7647058823529411,spanish,5
ods,7552,31549,3,0,0,0,NaN,NaN,spanish,5
ac,7552,53789,7,3,4,2,1.3333333333333333,0.6666666666666666,spanish,6
conv,7552,53789,57,28,46,14,1.6428571428571428,0.5,spanish,6
ods,7552,53789,93,24,49,1,2.0416666666666665,0.041666666666666664,spanish,6
food,7552,32749,120,49,105,30,2.142857142857143,0.6122448979591837,spanish,7
books,7574,2917,90,58,70,10,1.206896551724138,0.1724137931034483,spanish,1
conv,7574,2917,6,4,4,2,1,0.5,spanish,1
ods,7574,2917,2,3,2,0,0.6666666666666666,0,spanish,1
ac,7574,48555,9,2,6,0,3,0,spanish,2
conv,7574,48555,59,33,56,9,1.696969696969697,0.2727272727272727,spanish,2
food,7574,48555,9,3,7,1,2.3333333333333335,0.3333333333333333,spanish,2
ods,7574,48555,52,6,17,4,2.8333333333333335,0.6666666666666666,spanish,2
routines,7574,48555,20,12,19,3,1.5833333333333333,0.25,spanish,2
ac,7574,8017,50,41,48,11,1.170731707317073,0.2682926829268293,spanish,3
conv,7574,8017,23,18,19,3,1.0555555555555556,0.16666666666666666,spanish,3
ods,7574,8017,31,12,26,2,2.1666666666666665,0.16666666666666666,spanish,3
ac,7574,47955,27,28,25,8,0.8928571428571429,0.2857142857142857,spanish,4
conv,7574,47955,7,6,6,1,1,0.16666666666666666,spanish,4
food,7574,47955,33,22,32,5,1.4545454545454546,0.22727272727272727,spanish,4
ods,7574,47955,32,12,23,6,1.9166666666666667,0.5,spanish,4
routines,7574,47955,9,3,8,1,2.6666666666666665,0.3333333333333333,spanish,4
food,7574,8917,72,31,58,8,1.8709677419354838,0.25806451612903225,spanish,5
ods,7574,8917,53,18,32,1,1.7777777777777777,0.05555555555555555,spanish,5
conv,7574,56955,98,67,96,20,1.4328358208955223,0.29850746268656714,spanish,7
ods,7574,56955,17,4,13,0,3.25,0,spanish,7
books,7579,18684,193,18,55,14,3.0555555555555554,0.7777777777777778,spanish,1
ods,7579,18684,61,6,21,12,3.5,2,spanish,1
routines,7579,18684,3,0,0,0,NaN,NaN,spanish,1
ac,7579,1220,69,21,31,4,1.4761904761904763,0.19047619047619047,spanish,2
ods,7579,1220,12,3,6,0,2,0,spanish,2
routines,7579,1220,110,29,64,25,2.206896551724138,0.8620689655172413,spanish,2
ac,7579,10692,58,8,18,1,2.25,0.125,spanish,3
conv,7579,10692,28,1,3,0,3,0,spanish,3
ods,7579,10692,1,2,1,0,0.5,0,spanish,3
routines,7579,10692,116,10,34,11,3.4,1.1,spanish,3
ac,7579,8342,177,52,105,15,2.019230769230769,0.28846153846153844,spanish,4
ac,7579,9192,89,31,69,12,2.225806451612903,0.3870967741935484,spanish,5
conv,7579,9192,31,5,12,4,2.4,0.8,spanish,5
ods,7579,9192,20,2,3,0,1.5,0,spanish,5
play,7579,9192,20,3,8,1,2.6666666666666665,0.3333333333333333,spanish,5
ac,7579,1820,57,18,50,9,2.7777777777777777,0.5,spanish,6
ods,7579,1820,101,11,32,0,2.909090909090909,0,spanish,6
ac,7580,39992,3,1,1,0,1,0,spanish,1
books,7580,39992,95,81,86,17,1.0617283950617284,0.20987654320987653,spanish,1
ods,7580,39992,29,4,5,0,1.25,0,spanish,1
ac,7580,51627,26,5,9,3,1.8,0.6,spanish,13
ods,7580,51627,18,9,7,1,0.7777777777777778,0.1111111111111111,spanish,13
