"","id","rectime","activity","speaker","tokens","types","segment_num","language","speech","dur_min","tokens_permin","types_permin"
"187",20128,"935","play","ADULTS",423,144,2,"english","all",9.12028333333333,46.380138043957,15.7889831639003
"188",20128,"35","play","CHI",28,16,6,"english","all",5.43596666666667,5.1508777954243,2.94335874024246
"189",20128,"35","play","ADULTS",280,94,6,"english","all",5.43596666666667,51.508777954243,17.2922325989244
"190",20128,"1835","play","CHI",9,5,7,"english","all",7.10568333333333,1.2665917657462,0.703662092081222
"191",20128,"1835","play","ADULTS",328,102,7,"english","all",7.10568333333333,46.1602332405281,14.3547066784569
"192",20128,"15335","play","CHI",2,2,8,"english","all",2.55748333333333,0.782018781484403,0.782018781484403
"193",20128,"15335","play","ADULTS",164,70,8,"english","all",2.55748333333333,64.125540081721,27.3706573519541
"194",20132,"38853","play","CHI",37,10,7,"english","all",4.96033333333333,7.45917613063639,2.01599354882064
"195",20132,"38853","play","ADULTS",208,78,7,"english","all",4.96033333333333,41.9326658154694,15.724749680801
"196",20132,"37353","play","CHI",5,5,8,"english","all",1.5187,3.29228945808916,3.29228945808916
"197",20132,"37353","play","ADULTS",145,82,8,"english","all",1.5187,95.4763942845855,53.9935471126621
"198",20136,"35618","play","CHI",52,26,11,"english","all",6.11803333333333,8.49946333516762,4.24973166758381
"199",20136,"35618","play","ADULTS",317,123,11,"english","all",6.11803333333333,51.8140361009257,20.1044998120311
"200",20136,"3287","play","CHI",23,11,14,"english","all",2.9882,7.69694130245633,3.6811458403052
"201",20136,"3287","play","ADULTS",130,52,14,"english","all",2.9882,43.5044508399706,17.4017803359882
"202",20136,"36818","play","CHI",47,25,16,"english","all",6.69905,7.01592016778498,3.73187242967286
"203",20136,"36818","play","ADULTS",253,86,16,"english","all",6.69905,37.7665489882894,12.8376411580747
"204",20136,"29940","play","CHI",124,29,3,"english","all",9.34593333333333,13.2678027519991,3.10295386941914
"205",20136,"29940","play","ADULTS",403,141,3,"english","all",9.34593333333333,43.120358943997,15.0867757099345
"206",20136,"27540","play","CHI",29,13,4,"english","all",2.70178333333333,10.7336512303602,4.81163675843733
"207",20136,"27540","play","ADULTS",215,70,4,"english","all",2.70178333333333,79.5770694664636,25.9088133146626
"208",20136,"40417","play","CHI",27,15,5,"english","all",5.86098333333333,4.60673550229057,2.55929750127254
"209",20136,"40417","play","ADULTS",459,150,5,"english","all",5.86098333333333,78.3145035389398,25.5929750127254
"210",20149,"23973","play","CHI",35,16,1,"english","all",5.24941666666667,6.66740748972108,3.04795770958678
"211",20149,"23973","play","ADULTS",424,181,1,"english","all",5.24941666666667,80.7708793040496,34.4800215897004
"212",20149,"23373","play","CHI",18,9,2,"english","all",3.66685,4.90884546681757,2.45442273340878
"213",20149,"23373","play","ADULTS",247,126,2,"english","all",3.66685,67.3602683502188,34.361918267723
"214",20149,"24873","play","CHI",45,18,3,"english","all",4.80401666666667,9.36716150721097,3.74686460288439
"215",20149,"24873","play","ADULTS",215,112,3,"english","all",4.80401666666667,44.754216090008,23.3138241957251
"216",20149,"14421","play","CHI",6,4,5,"english","all",2.1459,2.79602963791416,1.86401975860944
"217",20149,"14421","play","ADULTS",57,30,5,"english","all",2.1459,26.5622815601845,13.9801481895708
"218",20149,"28473","play","CHI",97,44,6,"english","all",8.79966666666667,11.0231448160915,5.00018940111368
"219",20149,"28473","play","ADULTS",395,110,6,"english","all",8.79966666666667,44.888063941816,12.5004735027842
"220",20157,"5429","play","CHI",22,14,15,"english","all",3.14383333333333,6.99782643269894,4.45316227535387
"221",20157,"5429","play","ADULTS",103,55,15,"english","all",3.14383333333333,32.7625510258178,17.4945660817474
"222",20161,"1729","play","CHI",18,17,3,"english","all",1.68088333333333,10.7086551713881,10.1137298840887
"223",20161,"1729","play","ADULTS",106,55,3,"english","all",1.68088333333333,63.0620804537298,32.7208908014636
"224",20166,"11831","play","CHI",73,40,3,"english","all",3.93641666666667,18.5447848085187,10.161525922476
"225",20166,"11831","play","ADULTS",374,151,3,"english","all",3.93641666666667,95.0102673751508,38.359760357347
"226",20166,"2231","play","CHI",31,17,9,"english","all",1.0655,29.0943219145941,15.954950727358
"227",20166,"2231","play","ADULTS",54,35,9,"english","all",1.0655,50.6804317221962,32.8484279680901
"228",20167,"5558","play","CHI",3,3,8,"english","all",1.50166666666667,1.99778024417314,1.99778024417314
"229",20167,"5558","play","ADULTS",97,63,8,"english","all",1.50166666666667,64.5948945615981,41.9533851276359
"230",20169,"13210","play","CHI",60,27,8,"english","all",7.48095,8.02037174423035,3.60916728490366
"231",20169,"13210","play","ADULTS",374,103,8,"english","all",7.48095,49.9936505390358,13.7683048275954
"232",20176,"9027","play","CHI",5,2,18,"english","all",2.32605,2.14956686227725,0.8598267449109
"233",20176,"9027","play","ADULTS",256,97,18,"english","all",2.32605,110.057823348595,41.7015971281787
"234",20176,"33027","play","CHI",9,6,29,"english","all",1.139,7.90166812993854,5.26777875329236
"235",20176,"33027","play","ADULTS",40,24,29,"english","all",1.139,35.1185250219491,21.0711150131694
"236",20177,"12074","play","CHI",8,8,2,"english","all",2.4286,3.29407889318949,3.29407889318949
"237",20177,"12074","play","ADULTS",37,21,2,"english","all",2.4286,15.2351148810014,8.64695709462242
"238",20177,"29337","play","CHI",2,2,6,"english","all",1.96845,1.01602783916279,1.01602783916279
"239",20177,"29337","play","ADULTS",48,34,6,"english","all",1.96845,24.384668139907,17.2724732657675
"240",20190,"15561","play","CHI",17,9,1,"english","all",2.37778333333333,7.14951600580374,3.78503788542551
"241",20190,"15561","play","ADULTS",186,79,1,"english","all",2.37778333333333,78.2241162987938,33.224221438735
"242",20190,"14061","play","CHI",23,13,3,"english","all",3.81411666666667,6.03022980419231,3.40839075889131
"243",20190,"14061","play","ADULTS",207,69,3,"english","all",3.81411666666667,54.2720682377308,18.0906894125769
"244",20190,"26832","play","CHI",5,5,5,"english","all",0.63735,7.84498313328626,7.84498313328626
"245",20190,"26832","play","ADULTS",24,15,5,"english","all",0.63735,37.6559190397741,23.5349493998588
"246",20190,"23520","play","CHI",9,5,6,"english","all",0.915133333333333,9.83463247614191,5.46368470896773
"247",20190,"23520","play","ADULTS",22,11,6,"english","all",0.915133333333333,24.040212719458,12.020106359729
"248",20191,"24276","play","CHI",5,4,2,"english","all",1.51123333333333,3.30855592562367,2.64684474049894
"249",20191,"24276","play","ADULTS",90,56,2,"english","all",1.51123333333333,59.5540066612261,37.0558263669851
"250",20191,"10676","play","CHI",19,11,5,"english","all",1.16746666666667,16.2745545911375,9.42211055276379
"251",20191,"10676","play","ADULTS",84,48,5,"english","all",1.16746666666667,71.9506624029235,41.114664230242
"252",20191,"11576","play","CHI",2,2,7,"english","all",0.551233333333333,3.62822761081212,3.62822761081212
"253",20191,"11576","play","ADULTS",33,21,7,"english","all",0.551233333333333,59.8657555784,38.0963899135273
"254",20191,"26376","play","ADULTS",6,6,8,"english","all",0.0402666666666667,149.006622516556,149.006622516556
"255",20192,"9234","play","CHI",35,23,20,"english","all",5.1918,6.74139989984206,4.43006279132478
"256",20192,"9234","play","ADULTS",125,82,20,"english","all",5.1918,24.0764282137216,15.7941369082014
"257",20192,"8634","play","CHI",32,15,26,"english","all",8.19986666666667,3.90250247971512,1.82929803736646
"258",20192,"8634","play","ADULTS",187,81,26,"english","all",8.19986666666667,22.8052488658352,9.87820940177889
"259",20200,"6959","play","CHI",12,10,2,"english","all",1.96981666666667,6.09193748995252,5.07661457496044
"260",20200,"6959","play","ADULTS",169,61,2,"english","all",1.96981666666667,85.7947863168314,30.9673489072587
"261",20200,"9059","play","CHI",7,6,3,"english","all",1.8172,3.85208012326656,3.30178296279991
"262",20200,"9059","play","ADULTS",152,61,3,"english","all",1.8172,83.6451683909311,33.5681267884658
"263",20200,"7559","play","CHI",80,29,4,"english","all",9.54333333333333,8.382815228781,3.03877052043311
"264",20200,"7559","play","ADULTS",602,134,4,"english","all",9.54333333333333,63.080684596577,14.0412155082082
"265",20200,"21530","play","CHI",24,11,6,"english","all",5.1926,4.62196202287871,2.11839926048608
"266",20200,"21530","play","ADULTS",427,162,6,"english","all",5.1926,82.2324076570504,31.1982436544313
"267",20203,"6950","play","CHI",37,26,2,"english","all",5.82653333333333,6.35025973134397,4.46234467607955
"268",20203,"6950","play","ADULTS",714,178,2,"english","all",5.82653333333333,122.5428499508,30.5498981670061
"269",20204,"13996","play","CHI",49,23,11,"english","all",8.12286666666667,6.03235311014994,2.8315126843561
"270",20204,"13996","play","ADULTS",428,136,11,"english","all",8.12286666666667,52.6907577784526,16.7428576118447
"271",20204,"12796","play","CHI",10,9,13,"english","all",2.66246666666667,3.75591556701805,3.38032401031624
"272",20204,"12796","play","ADULTS",131,56,13,"english","all",2.66246666666667,49.2024939279364,21.0331271753011
