id,activity,speaker,segment_num,words_sum,num_utt_sum,mlu_w,language,speech
20001,ac,ADULTS,2,210,66,3.1818181818181817,english,all
20001,ac,CHI,2,66,35,1.8857142857142857,english,all
20001,conv,ADULTS,2,175,64,2.734375,english,all
20001,conv,CHI,2,43,24,1.7916666666666667,english,all
20001,ods,ADULTS,2,11,2,5.5,english,all
20001,ods,CHI,2,16,12,1.3333333333333333,english,all
20001,play,ADULTS,2,189,64,2.953125,english,all
20001,play,CHI,2,47,28,1.6785714285714286,english,all
20001,ac,ADULTS,3,261,87,3,english,all
20001,ac,CHI,3,78,43,1.813953488372093,english,all
20001,conv,ADULTS,3,151,43,3.511627906976744,english,all
20001,conv,CHI,3,26,15,1.7333333333333334,english,all
20001,ods,ADULTS,3,125,23,5.434782608695652,english,all
20001,ods,CHI,3,4,2,2,english,all
20001,routines,ADULTS,3,44,13,3.3846153846153846,english,all
20001,routines,CHI,3,4,3,1.3333333333333333,english,all
20001,ac,ADULTS,4,152,49,3.1020408163265305,english,all
20001,ac,CHI,4,24,12,2,english,all
20001,conv,ADULTS,4,30,7,4.285714285714286,english,all
20001,ods,ADULTS,4,347,68,5.102941176470588,english,all
20001,ods,CHI,4,25,15,1.6666666666666667,english,all
20001,routines,ADULTS,4,207,64,3.234375,english,all
20001,routines,CHI,4,37,27,1.3703703703703705,english,all
20001,ods,ADULTS,5,186,44,4.2272727272727275,english,all
20001,ods,CHI,5,7,5,1.4,english,all
20001,play,ADULTS,5,396,122,3.2459016393442623,english,all
20001,play,CHI,5,65,38,1.7105263157894737,english,all
20001,ac,ADULTS,7,56,17,3.2941176470588234,english,all
20001,ac,CHI,7,6,5,1.2,english,all
20001,conv,ADULTS,7,400,101,3.9603960396039604,english,all
20001,conv,CHI,7,35,22,1.5909090909090908,english,all
20001,ods,ADULTS,7,80,19,4.2105263157894735,english,all
20001,ods,CHI,7,21,12,1.75,english,all
20001,ac,ADULTS,8,58,17,3.411764705882353,english,all
20001,ac,CHI,8,4,2,2,english,all
20001,conv,ADULTS,8,171,43,3.9767441860465116,english,all
20001,conv,CHI,8,16,12,1.3333333333333333,english,all
20001,ods,ADULTS,8,351,67,5.2388059701492535,english,all
