"","activity","id","rectime","segment_num","language","dur_min","Dur10minval","AWCval","Time","Date","dur_10min","tcds_min"
"126","food","20073",6218,2,"english",5.3153,600,582,18,"2011.04.14",10,6.87996666666667
"127","play","20073",1119,3,"english",6.5343,600,575,16.35,"2011.04.14",10,8.08716666666667
"128","ac","20073",1119,3,"english",1.55286666666667,600,575,16.35,"2011.04.14",10,8.08716666666667
"129","ac","20073",13818,4,"english",0.6275,600,536,10.4,"2011.04.16",10,6.32886666666667
"130","conv","20073",13818,4,"english",2.66175,600,536,10.4,"2011.04.16",10,6.32886666666667
"131","books","20073",13818,4,"english",3.03961666666667,600,536,10.4,"2011.04.16",10,6.32886666666667
"132","food","20073",28999,5,"english",5.50995,600,513,18.25,"2011.04.19",10,5.7829
"133","ac","20073",28999,5,"english",0.27295,600,513,18.25,"2011.04.19",10,5.7829
"134","play","20073",4118,6,"english",3.76075,600,498,17.25,"2011.04.14",10,6.777
"135","ac","20073",4118,6,"english",1.32525,600,498,17.25,"2011.04.14",10,6.777
"136","conv","20073",4118,6,"english",1.691,600,498,17.25,"2011.04.14",10,6.777
"137","conv","20086",36922,10,"english",4.66956666666667,600,618,18.2,"2011.04.18",10,6.22113333333333
"138","ac","20086",36922,10,"english",0.449633333333333,600,618,18.2,"2011.04.18",10,6.22113333333333
"139","play","20086",36922,10,"english",1.10193333333333,600,618,18.2,"2011.04.18",10,6.22113333333333
"140","conv","20086",32122,12,"english",8.21638333333333,600,602,17,"2011.04.18",10,8.21638333333333
"141","food","20086",35722,13,"english",3.2683,600,573,18,"2011.04.18",10,3.2683
"142","books","20086",33622,2,"english",8.35225,600,1227,17.25,"2011.04.18",10,8.54391666666667
"143","ac","20086",33622,2,"english",0.191666666666667,600,1227,17.25,"2011.04.18",10,8.54391666666667
"144","books","20086",34222,4,"english",6.53235,600,964,17.35,"2011.04.18",10,8.45081666666667
"145","ac","20086",34222,4,"english",1.91846666666667,600,964,17.35,"2011.04.18",10,8.45081666666667
"146","conv","20086",36322,6,"english",1.99466666666667,600,879,18.1,"2011.04.18",10,5.919
"147","food","20086",36322,6,"english",3.92433333333333,600,879,18.1,"2011.04.18",10,5.919
"148","play","20108",14696,10,"english",5.24575,600,288,14.15,"2011.06.05",10,5.79625
"149","ac","20108",14696,10,"english",0.5505,600,288,14.15,"2011.06.05",10,5.79625
"150","conv","20108",25796,12,"english",2.59636666666667,600,274,17.2,"2011.06.05",10,7.17708333333333
"151","ac","20108",25796,12,"english",0.0310333333333333,600,274,17.2,"2011.06.05",10,7.17708333333333
"152","routines","20108",25796,12,"english",4.54968333333333,600,274,17.2,"2011.06.05",10,7.17708333333333
