id,rectime,speaker,Speaker2,activity,segment_num,language,speech,n_speakers
20149,24873,MOT,ADULTS,play,3,english,all,3
20149,24873,GMA,ADULTS,play,3,english,all,3
20149,24873,ADF,ADULTS,play,3,english,all,3
20149,14421,CHI,CHI,play,5,english,all,1
20149,14421,MOT,ADULTS,play,5,english,all,1
20149,28473,CHI,CHI,play,6,english,all,1
20149,28473,MOT,ADULTS,play,6,english,all,1
20157,5429,CHI,CHI,play,15,english,all,1
20157,5429,MOT,ADULTS,play,15,english,all,2
20157,5429,GMA,ADULTS,play,15,english,all,2
20161,1729,CHI,CHI,play,3,english,all,1
20161,1729,MOT,ADULTS,play,3,english,all,1
20166,11831,CHI,CHI,play,3,english,all,1
20166,11831,MOT,ADULTS,play,3,english,all,2
20166,11831,GFA,ADULTS,play,3,english,all,2
20166,2231,CHI,CHI,play,9,english,all,1
20166,2231,MOT,ADULTS,play,9,english,all,1
20167,5558,CHI,CHI,play,8,english,all,1
20167,5558,MOT,ADULTS,play,8,english,all,1
20169,13210,CHI,CHI,play,8,english,all,1
20169,13210,MOT,ADULTS,play,8,english,all,1
20176,9027,CHI,CHI,play,18,english,all,1
20176,9027,GMA,ADULTS,play,18,english,all,1
20176,33027,CHI,CHI,play,29,english,all,1
20176,33027,FAT,ADULTS,play,29,english,all,1
20177,12074,CHI,CHI,play,2,english,all,1
20177,12074,MOT,ADULTS,play,2,english,all,1
20177,29337,CHI,CHI,play,6,english,all,1
20177,29337,MOT,ADULTS,play,6,english,all,1
20190,15561,CHI,CHI,play,1,english,all,1
20190,15561,MOT,ADULTS,play,1,english,all,1
20190,14061,CHI,CHI,play,3,english,all,1
20190,14061,MOT,ADULTS,play,3,english,all,1
20190,26832,CHI,CHI,play,5,english,all,1
20190,26832,MOT,ADULTS,play,5,english,all,1
20190,23520,CHI,CHI,play,6,english,all,1
20190,23520,MOT,ADULTS,play,6,english,all,1
20191,24276,CHI,CHI,play,2,english,all,1
20191,24276,MOT,ADULTS,play,2,english,all,1
20191,10676,CHI,CHI,play,5,english,all,1
20191,10676,MOT,ADULTS,play,5,english,all,1
20191,11576,CHI,CHI,play,7,english,all,1
20191,11576,MOT,ADULTS,play,7,english,all,1
20191,26376,MOT,ADULTS,play,8,english,all,1
20192,9234,CHI,CHI,play,20,english,all,1
20192,9234,MOT,ADULTS,play,20,english,all,2
20192,9234,FAT,ADULTS,play,20,english,all,2
20192,8634,CHI,CHI,play,26,english,all,1
20192,8634,MOT,ADULTS,play,26,english,all,1
20200,6959,CHI,CHI,play,2,english,all,1
20200,6959,MOT,ADULTS,play,2,english,all,1
20200,9059,CHI,CHI,play,3,english,all,1
20200,9059,MOT,ADULTS,play,3,english,all,2
20200,9059,FAT,ADULTS,play,3,english,all,2
20200,7559,CHI,CHI,play,4,english,all,1
20200,7559,MOT,ADULTS,play,4,english,all,1
20200,21530,CHI,CHI,play,6,english,all,1
20200,21530,MOT,ADULTS,play,6,english,all,2
20200,21530,FAT,ADULTS,play,6,english,all,2
20203,6950,CHI,CHI,play,2,english,all,1
20203,6950,MOT,ADULTS,play,2,english,all,1
20204,13996,CHI,CHI,play,11,english,all,1
